dataset,yolo11x_obb_map50,yolo11x_obb_map50_95,yolo11x_obb_f1,rtdetr_x_map50,rtdetr_x_map50_95,rtdetr_x_f1
40-70 mm,0.254,0.218,0.404,0.035,0.010,0.145
Mask 2018,0.977,0.890,0.949,0.919,0.733,0.880
Open pits,0.701,0.571,0.749,0.525,0.363,0.621
Rock blasting,0.804,0.692,0.813,0.259,0.171,0.448
Rocks UAV,0.483,0.374,0.631,0.019,0.007,0.124
Rocks asbest,0.667,0.577,0.693,0.582,0.425,0.614
Ronveer,0.828,0.703,0.773,0.339,0.267,0.382
SAM fragment v7,0.532,0.481,0.674,0.471,0.371,0.601
Transport,0.974,0.882,0.937,0.959,0.808,0.927
Unloading a wagon,0.747,0.603,0.775,0.001,0.000,0.031
Combined,0.664,0.574,0.721,0.567,0.393,0.635
