dataset,sam_auto,tiled_owlv2_sam,owlv2_large,yoloe,yolo_world,qwen25_vl
40-70 mm,0.024,0.099,0.002,0.000,0.000,0.000
Mask 2018,0.477,0.388,0.400,0.116,0.017,0.002
Open pits,0.458,0.340,0.144,0.044,0.002,0.001
Rock blasting,0.506,0.543,0.210,0.078,0.009,0.000
Rocks UAV,0.269,0.234,0.081,0.003,0.001,0.000
Rocks asbest,0.472,0.170,0.147,0.067,0.002,0.009
Ronveer,0.534,0.470,0.428,0.351,0.024,0.000
SAM fragment v7,0.661,0.114,0.116,0.012,0.233,0.000
Transport,0.706,0.583,0.448,0.283,0.098,0.020
Unloading a wagon,0.137,0.210,0.156,0.055,0.000,0.000
Synthetic,0.598,0.352,0.355,0.185,0.063,0.001
